,내용
613, 이에 전국 .개 시.도지사도 공동건의문을 채택해 지난해 .월 .일 후쿠시마 방사능 오염수 해양 방류 논의를 즉각 중단할 것을 정부에 건의했다
614, . 개 시.도 실무자들이 .일 부산시청에서 일본의 후쿠시마 방사능 오염수 방류 결정에 공동대응을 위한 회의를 하고 있다
615, 사진 부산시 이날 .개 시.도 담당과장이 참석한 실무대책협의회에서 .개 시.도는 일본 정부의 방사능 오염수 해양방류 결정을 철회할 것을 다시 촉구했다
616, 또 각 시.도별 대응 상황을 공유하고 .개 시.도의 공동 대응방안 마련과 협력과제 발굴에 나서기로 합의했다
617, .개 시.도는 일본과 한일해협을 사이에 둔 지리적으로 가까운 도시로서 이번 일본 정부의 결정이 시.도민의 안전과 해양환경 수산업계에 미칠 영향을 크게 우려한다고 강조했다
618, 앞으로 지속해서 정례회의를 열어 공동 대응할 것도 다짐했다
619, 권대은 부산시 해양수도정책과장은 .방사능 오염수 해양 방류는 해양환경 오염은 물론 시민의 건강과 안전 해양환경 보호 수산물 안전관리와 직결되므로 한일해협에 인접한 시.도간 협력으로 강력하게 대응해 나가기로 약속했다
620,고 전했다
621, 부산황선윤 기자 .다
622,한국 선박 나포 순간 지난 .일 이란 혁명수비대에 나포되는 한국 국적 선박 한국케미 모습. 오른쪽이 이란 혁명수비대가 타고 온 고속정이다
623, 사진은 나포 당시 모습. 송봉근 기자 이란에서 혁명수비대에 나포된 한국 선박이 해양오염 행위를 배상해야 한다는 주장이 나왔다
624, 연합뉴스에 따르면 마수드폴메 이란 해운협회장은 .일현지시간 이란 반관영 메흐르통신과 인터뷰에서 한국 배한국케미는 반복적인 환경법 위반 혐의로 나포됐다며 반드시 환경 오염에 대한 배상금을 지불해야 한다고 주장했다
625, 구체적인 환경오염 사례나 배상금의 액수를 언급하지는 않았다
626, 한국케미의 선사인 디엠쉽핑은 해양 오염 혐의를 전면 부인하고 있다
627, 디엠쉽핑 관계자는 해양 오염을 할 이유는 전혀 없다면서 주변에 배가 엄청나게 많아 만약 해양오염을 했다면 벌써 신고가 들어왔을 것이라고 밝혔다
628, 그러면서 매년 한 번씩 검사를 받고 있고 외부 충격이 없으면 오염 가능성이 희박하다면서 .개월 전에 정밀 검사를 했고 물을 버리는 것도 미생물을 걸러서 버리고 있다고 덧붙였다
629, 앞서 이란 혁명수비대는 전날 오전 .시쯤 걸프 해역페르시아만에서 한국 국적 선박 한국케미를 나포했다
630, 그 뒤 성명을 통해 혁명수비대 측은 해당 선박은 해양 환경 규제를 반복적으로 위반했다며 이번 사건은 사법 당국이 다루게 될 것이라고 밝힌 바 있다
631, 이란 반관영 타스님뉴스은 한국케미가 그레이터툰브 섬에서 .마일. 떨어진 해역에서 대규모 해양 오염을 일으켰다고 보도했다
632, 한편 한국 외교부는 나포사건과 관련해 이란대사를 초치해 항의하고 선박과 선원의 조속한 억류 해제를 요구했다
633, 국방부도 오만 무스카트항 남쪽 해역에서 작전을 수행하던 청해부대 최영함을 긴급 출동시켰고 최영함은 이날 오전 호르무즈 해협 인근 해역에 도착했다
634, 고석현 기자 .다
635,박물관 수장고는 오랫동안 일반인에게는 금단의 영역이었습니다
636, 하윤왼쪽.김해승 학생기자가 종합적 개방형 수장고 개념으로 상시 개방하는 .열린 수장고.보이는 수장고.민속아카이브. 등을 갖춘 국립민속박물관 파주를 둘러봤다
637, 굳건했던 수장고의 문을 먼저 연 곳은 미술관이에요. .년 말 개관한 국립현대미술관 청주관이 개방형 수장고를 선보이며 큰 호응을 이끌어냈죠. .년에는 국립경주박물관이 열린 수장고 흐름을 이었습니다
638, 국립민속박물관 파주를 찾은 하윤맨 왼쪽.김해승가운데 학생기자가 김윤정 학예연구관의 설명을 듣고 있다
639, 소중 학생기자단이 파주관을 찾아 새로운 형태의 박물관을 직접 체험했습니다
640,며 파주관의 특징을 알려줬어요. .파주관은 일반 전시실 없이 전체가 수장고만으로 이루어진 박물관입니다
641, 크게 관람객이 직접 들어가 볼 수 있는 열린 수장고 창을 통해 내부를 들여다볼 수 있는 보이는 수장고로 나뉘죠. 먼저 열린 수장고를 살펴볼까요. 김 학예관은 한참 동안 고개를 위아래로 돌리며 여러 유물이 자리한 것을 확인한 학생기자단을 타워 내부로 이끌었습니다
642, .개 층에 각각 .개 구역으로 나뉘어 .층에 . .층에 .수장고가 있어요. 수장고만으로 이루어진 국립민속박물관 파주 파주관의 열린 수장고는 모두 .개입니다
643, 유리 타워로 이루어진 .개 수장고 외에 .층 뒤쪽에 한 곳이 더 있죠. 바로 .수장고예요. 색다르게 느껴졌던 .수장고와는 또 다른 분위기로 들어서자 평소 박물관 하면 떠오르는 전시실과 흡사한 느낌이 들었죠. 보관을 위한 수장고에 전시기법을 도입한 공간입니다
644, .유물을 보여준다는 점은 일반 전시실과 같아요. 다만 전시는 전달하고 싶은 어떤 주제 하에 진행되기에 대표성을 가진 주요 유물이 존재하죠. 수장고에선 유물 하나하나가 다 중요합니다
645, 다양한 시각으로 유물을 살펴볼 수 있도록 배치 및 공간 연출을 했죠. .수장고는 목재 유물 중 대표적인 민속유물인 소반.떡살.반닫이를 특화해 보관해요. 목재 유물이 모여 있는 .수장고는 전시형 수장고로 좀 더 다양한 연출을 통해 유물을 볼 수 있다
646, 김 학예관은 .유물은 재질에 따라 분류한다
647,며 .재질별로 성질을 잘 맞춰 온도.습도.빛 등을 각각 조절해야 한다
648, 비용도 많이 들죠. 소반과 떡살 반닫이는 우리 생활과 밀접한 민속유물입니다
649, 디지털이 도입되기 전 유물 관리에 사용한 유물카드. 수장고는 일반 전시실과 달리 유물의 보관 및 관리에 중점을 둔 만큼 보통 전시에서 볼 수 있는 유물 설명이 따로 나와 있지 않습니다
650, 파주관에서는 수장고마다 키오스크를 두고 궁금한 유물이 있다면 유물번호 등을 검색해 자세한 내용을 찾아볼 수 있게 했죠. 아직 개관한 지 며칠 되지 않아 키오스크는 정비 중이었습니다
651, 파주관에는 열린 수장고 외에 보이는 수장고도 있습니다
652, .수장고는 유리창 너머로 내부를 살펴볼 수 있어요. .수장고에는 금속 .수장고에는 나무와 풀초제 재질의 소장품을 보관 중이죠. .수장고에서는 박물관에 새로 들어오는 소장품의 실측 및 등록 업무를 진행합니다
653,고 답했죠. .이온수.정제수 등을 이용해 진동을 가하는 식으로 세척하고 그대로 떠내어 말려 복원 작업을 합니다
654, 민속박물관은 섬유 특화 세척기를 개발하기도 했어요. 열린 수장고에서 옷이나 종이로 된 유물은 보지 못했죠. 섬유.지류는 햇빛에 노출되면 부서지거나 변색되기 쉽고 온습도 변화에 매우 취약하고 복원도 어렵기 때문에 따로 비개방 수장고에 보관합니다
655, 특별한 게 아니에요. 보존과학자는 어떤 벌레가 어떤 해를 입히는지 알기 위해 직접 키워 실험하기도 합니다
656, 또 다른 체험실인 .특별한 집 수장고.에서는 금속.목재.섬유.종이.도자 등 재질별 유물 보관방식을 어린이 눈높이에 맞춰 알아볼 수 있습니다
657, 전쟁 때도 사진을 찍었어요. .년 한국전쟁 중에 찰스 비스턴이 촬영한 사진을 보면 당시 부산 사람들의 삶을 엿볼 수 있죠. 민속박물관에선 이런 자료들을 기증받아 보관.공유합니다
658, 하윤 학생기자가 미디어월에서 상평통보의 특징.격납처 정보 등을 알아봤다
659, 원하는 유물 정보는 휴대전화로 내려받을 수 있다
660, 이 일을 할 때 가장 어려운 게 뭔지 묻는 하윤 학생기자에게 김 학예관은 .원하는 만큼 못 보여드리는 안타까움이 크다
661,고 말했어요. .원하는 사람도 많고 일일이 설명하다 보면 다들 알게 되는데 공유 기회를 만들기가 쉽지 않아요. 요새는 코로나.로 온라인 예약을 받아 정해진 소수 인원만 방문하는 등 더 어려워졌죠. 김 학예관은 마지막으로 파주관을 즐기는 팁을 귀띔했습니다
662, 김해승충북 청천초 . 학생기자 국립민속박물관 파주에서 수장고와 관련된 지식을 자세하게 배우고 학예연구관님과 인터뷰도 했습니다
663, 하윤경기도 불정초 . 학생기자 . 글김현정 기자 . 사진임익순오픈스튜디오 동행취재김해승충북 청천초 .하윤경기도 불정초 . 학생기자다
664,한국중부발전은 지난 .월 .일 유튜브를 통해 감염병 확산 방지 비대면 공감토크쇼 .공통점 유튜브 .를 방송했다
665, 사진 한국중부발전 한국중부발전이 국민 건강을 지키기 위한 미세먼지 감축에 총력을 기울이고 있다
666, 지역사회와 긴밀하게 협력해 발전소의 오염물질 방출량을 획기적으로 저감하는 동시에 취약계층 지원을 위해 적극적으로 노력하고 있다
667, 한국중부발전.억 들여 최신 환경설비 개선석탄발전소 오염물질 배출 . 한국중부발전은 미세먼지를 포함한 대기오염물질 배출량을 저감하기 위해 최신 환경설비 설치 및 개선에 지난해까지 약 .여억원을 투자했다
668, 그 결실로 석탄발전소의 대기오염물질 배출량이 .년 대비 .에 상당하는 약 .만. 줄었다
669, 지난해 기준 저유황탄 비중을 .까지 확대하고 보령 .호기 및 신보령 .호기 탈황설비 용량을 늘리는 등의 성능 보강 노력이 주효했다
670, 특히 보령 .호기는 세계 최고 수준의 설비를 도입해 황산화물 . 질소산화물 . 먼지 .등 국내는 물론 해외에서도 최고 수준의 저감 성능을 입증했다
671, 한국중부발전은 저탄장 비산먼지 발생을 차단하기 위해 오는 .년까지 약 .억원을 투자해 모든 저탄장의 옥내화를 추진한다
672, 유연탄 수송 선박에서 하역할 때 필요한 전력도 발전소 생산 전력으로 대체함으로써 하역 과정의 선박 대기오염물질도 약 . 감축할 계획이다
673, 이를 위해 올 하반기까지 육상전력공급장치를 구축한다
674, 또한 기존 석탄발전소의 대기오염물질 감축 로드맵을 보완해 석탄 및 유류 발전을 모두 포함하는 대기오염물질 감축 로드맵을 재수립했다
675, 지난해 말 발표된 정부의 미세먼지 종합대책 및 석탄발전의 대체 건설 등을 반영해 석탄발전의 환경설비 성능 개선 및 보강 계획을 보완했다
676, 재수립된 대기오염물질 감축 로드맵에 따르면 석탄 및 유류 발전 등 한국중부발전이 운영 및 건설 중인 모든 발전기에 대해 .년까지 대기오염물질 배출량을 .년 대비 . 감축한다
677, 또 .년까지 추가적으로 약 .억원을 투자할 계획이다
678, 한국중부발전은 발전소뿐만 아니라 대기오염물질 저감 노력을 지역사회 전반에 확산하는 데도 정성을 쏟고 있다
679, 충남 지역 중소기업의 사용 연료를 벙커유에서 액화천연가스 등 청정연료로 전환하는 사업을 지원하고 있다
680, 중소기업은 필요한 자금을 한국중부발전에서 투자받고 한국중부발전은 연료전환 사업으로 발생된 온실가스 배출권으로 투자금을 회수하는 프로그램이다
681, 내년까지 약 .개 기업에 총 .억원을 투자해 대기오염물질 .을 감축한다는 목표다
682, 이미 지난 .월까지 .개 지역 중소기업이 청정연료로 전환을 완료했다
683, 지역사회의 소외계층 지원에도 적극적으로 나서고 있다
684, 어린이.노인 등 미세먼지 취약계층 지원을 위해 마스크 .만.개 및 공기청정기 .대를 지원했다
685, 장애인 아동 및 노인복지 시설에 방진망 .개도 설치했다
